date,price
Jan-00,1.279
Feb-00,1.371
Mar-00,1.498
Apr-00,1.437
May-00,1.456
Jun-00,1.612
Jul-00,1.529
Aug-00,1.439
Sep-00,1.525
Oct-00,1.508
Nov-00,1.495
Dec-00,1.418
Jan-01,1.427
Feb-01,1.431
Mar-01,1.384
Apr-01,1.517
May-01,1.654
Jun-01,1.548
Jul-01,1.34
Aug-01,1.386
Sep-01,1.506
Oct-01,1.274
Nov-01,1.139
Dec-01,1.072
Jan-02,1.094
Feb-02,1.09
Mar-02,1.221
Apr-02,1.362
May-02,1.353
Jun-02,1.341
Jul-02,1.364
Aug-02,1.358
Sep-02,1.363
Oct-02,1.427
Nov-02,1.385
Dec-02,1.348
Jan-03,1.424
Feb-03,1.582
Mar-03,1.636
Apr-03,1.517
May-03,1.438
Jun-03,1.452
Jul-03,1.48
Aug-03,1.588
Sep-03,1.616
Oct-03,1.513
Nov-03,1.474
Dec-03,1.448
Jan-04,1.555
Feb-04,1.615
Mar-04,1.689
Apr-04,1.756
May-04,1.945
Jun-04,1.91
Jul-04,1.863
Aug-04,1.842
Sep-04,1.841
Oct-04,1.954
Nov-04,1.932
Dec-04,1.8
Jan-05,1.811
Feb-05,1.886
Mar-05,2.063
Apr-05,2.211
May-05,2.114
Jun-05,2.123
Jul-05,2.247
Aug-05,2.449
Sep-05,2.862
Oct-05,2.689
Nov-05,2.222
Dec-05,2.174
Jan-06,2.3
Feb-06,2.249
Mar-06,2.413
Apr-06,2.719
May-06,2.831
Jun-06,2.808
Jul-06,2.923
Aug-06,2.91
Sep-06,2.501
Oct-06,2.214
Nov-06,2.211
Dec-06,2.284
Jan-07,2.191
Feb-07,2.235
Mar-07,2.503
Apr-07,2.787
May-07,3.119
Jun-07,3.024
Jul-07,2.947
Aug-07,2.777
Sep-07,2.817
Oct-07,2.791
Nov-07,3.064
Dec-07,2.984
Jan-08,3.018
Feb-08,3.016
Mar-08,3.215
Apr-08,3.421
May-08,3.735
Jun-08,3.989
Jul-08,4.002
Aug-08,3.74
Sep-08,3.709
Oct-08,3.01
Nov-08,2.099
Dec-08,1.669
Jan-09,1.772
Feb-09,1.892
Mar-09,1.937
Apr-09,2.021
May-09,2.24
Jun-09,2.597
Jul-09,2.478
Aug-09,2.562
Sep-09,2.48
Oct-09,2.5
Nov-09,2.614
Dec-09,2.568
Jan-10,2.678
Feb-10,2.603
Mar-10,2.742
Apr-10,2.818
May-10,2.795
Jun-10,2.684
Jul-10,2.679
Aug-10,2.683
Sep-10,2.678
Oct-10,2.766
Nov-10,2.815
Dec-10,2.951
Jan-11,3.058
Feb-11,3.168
Mar-11,3.509
Apr-11,3.746
May-11,3.849
Jun-11,3.628
Jul-11,3.614
Aug-11,3.612
Sep-11,3.573
Oct-11,3.4
Nov-11,3.33
Dec-11,3.22
Jan-12,3.33
Feb-12,3.517
Mar-12,3.774
Apr-12,3.837
May-12,3.643
Jun-12,3.465
Jul-12,3.379
Aug-12,3.668
Sep-12,3.801
Oct-12,3.653
Nov-12,3.38
Dec-12,3.256
Jan-13,3.255
Feb-13,3.605
Mar-13,3.648
Apr-13,3.501
May-13,3.565
Jun-13,3.576
Jul-13,3.515
Aug-13,3.515
Sep-13,3.474
Oct-13,3.285
Nov-13,3.186
Dec-13,3.209
Jan-14,3.252
Feb-14,3.305
Mar-14,3.474
Apr-14,3.59
May-14,3.601
Jun-14,3.626
Jul-14,3.539
Aug-14,3.425
Sep-14,3.354
Oct-14,3.12
Nov-14,2.875
Dec-14,2.488
Jan-15,2.046
Feb-15,2.152
Mar-15,2.352
Apr-15,2.369
May-15,2.578
Jun-15,2.7
Jul-15,2.666
Aug-15,2.522
Sep-15,2.275
Oct-15,2.23
Nov-15,2.088
Dec-15,1.946
Jan-16,1.843
Feb-16,1.681
Mar-16,1.895
Apr-16,2.027
May-16,2.199
Jun-16,2.303
Jul-16,2.157
Aug-16,2.119
Sep-16,2.161
Oct-16,2.186
Nov-16,2.105
Dec-16,2.192
Jan-17,2.285
Feb-17,2.227
Mar-17,2.243
Apr-17,2.34
May-17,2.303
Jun-17,2.257
Jul-17,2.211
Aug-17,2.297
Sep-17,2.57
Oct-17,2.43
Nov-17,2.474
Dec-17,2.388
Jan-18,2.467
Feb-18,2.488
Mar-18,2.488
Apr-18,2.652
May-18,2.808
Jun-18,2.802
Jul-18,2.77
Aug-18,2.768
Sep-18,2.769
Oct-18,2.785
Nov-18,2.561
Dec-18,2.263
Jan-19,2.145
Feb-19,2.223
Mar-19,2.443
Apr-19,2.694
May-19,2.731
Jun-19,2.601
Jul-19,2.64
Aug-19,2.521
Sep-19,2.489
Oct-19,2.497
Nov-19,2.48
Dec-19,2.469
